"PROVIDER_NAME","PROVIDER_NUMBER","PROVIDER_STREET","PROVIDER_CITY","PROVIDER_COUNTY","PROVIDER_STATE","PROVIDER_ZIP_CODE","PROVIDER_ZIP_CODE_PLUS_4","PROGRAM_NAME","PROGRAM_NUMBER","PROGRAM_COUNTY","PROGRAM_STREET_ADDRESS","PROGRAM_CITY","PROGRAM_STATE","PROGRAM_ZIP_CODE","PROGRAM_ZIP_CODE_PLUS_4","PROGRAM_DIRECTOR","PROGRAM_DIRECTOR_EMAIL","PROGRAM_DIRECTOR_TELEPHONE","PROGRAM_DIRECTOR_PHONE_EXTENSION","PROGRAM_TYPE","SERVICE_TYPE","ADMISSION_PHONE","ADMISSION_PHONE_EXT","TELEHEALTH_SERVICES","ADOLESCENT_DESIGNATION","PROBLEM_GAMBLING","INTEGRATED_LICENSE_SERVICE","PARENTS_WITH_CHILDREN","LGBTQ_ENDORSEMNT","ADDITIONAL_LOCATION_STREET","ADDITIONAL_LOCATION_CITY","ADDITIONAL_LOCATION_ZIP","ADDITIONAL_LOCATION_COUNTYNAME"
"820 River St., Inc.","35210","428 Duane Ave","Schenectady","Schenectady","NY","12304","","Eleanor R.Young Memorial Clinc OP","51423","Albany","134 Franklin St","Albany","NY","12202","1902","Ms. Jackie Foster CASAC","jackief@pyhit.org","5184658034","","Outpatient Services","Outpatient Clinic","5184658034","","Y","","","","","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","Addictions Care Center of Albany OP","50113","Albany","1044 Broadway","Menands","NY","12204","","Ms. Katherine J Maloney CASAC","kmaloney@theacca.net","5184342367","121","Outpatient Services","Outpatient Clinic","5184342367","","Y","","","","","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","Albany Citizens Cncl Reintegration RRi","53469","Albany","90 McCarty Ave","Albany","NY","12202","1151","Aaron Siegel","asiegel@theacca.net","5184070565","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","McCarty Avenue Men's SRh","53459","Albany","90 McCarty Ave","Albany","NY","12202","1151","Mr. Lamar Romeo CASAC","lromeo@theacca.net","5184343083","","Residential Services","820 Stabil and Rehab","","","Y","","","","","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","T.R.E.E. House for Women/Children SRh","53212","Albany","90 McCarty Ave","Albany","NY","12202","1151","Ms. Susan Dzuiba CASAC","sdziuba@theacca.net","5184655470","","Residential Services","820 Stabil and Rehab","","","Y","","","","Y","","","","",""
"Addictions Care Center of Albany, Inc.","35090","90 McCarty Ave","Albany","Albany","NY","12202","1151","Vista House RRi","53540","Albany","111 McCarty Ave","Albany","NY","12202","1108","Ms. Carolle Yando CASAC","cyando@theacca.net","5182693989","","Residential Services","820 Residential Reintegration","","","","","","","Y","","","","",""
"Albany County Dept. of Mental Health","70520","260 South Pearl Street","Albany","Albany","NY","12202","2094","Albany County Alc and SA Clinic OP","1865","Albany","260 S Pearl St","Albany","NY","12202","","Ms. Laura Isabelle LCSW","laura.isabelle@albanycountyny.gov","5184474551","4530","Outpatient Services","Outpatient Clinic","5184474551","","Y","","","OMH Hosted","","","","","",""
"Bright Heart Health New York, Inc.","51400","2960 Camino Diablo","Walnut Creek","Out of State","CA","94597","","Bright Heart Health New York, Inc TpOP","53497","Albany","90 State St","Albany","NY","12207","1715","Edward March","emarch@brighthearthealth.com","8008922695","","Outpatient Services","Telepractice Only OP Clinic","","","Y","","","","","","","","",""
"Equinox, Inc.","14510","500 Central Ave","Albany","Albany","NY","12206","","Counseling Center OP","52689","Albany","500 Central Ave","Albany","NY","12206","","Mr. Jeff McKenzie","jmckenzie@equinoxinc.org","5184359931","5229","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Fusion Recovery Centers, LLC","52980","444 Broadway","Menands","Albany","NY","12204","","Fusion Recovery Centers, LLC OP","53808","Albany","444 Broadway","Menands","NY","12204","","Mitchell Baumann","mitch@fusionrecovery.com","4073885515","","Outpatient Services","Outpatient Clinic","","","Y","","","","","","","","",""
"Fusion Recovery Centers, LLC","52980","444 Broadway","Menands","Albany","NY","12204","","Fusion Recovery Centers, LLC OP R","53872","Albany","444 Broadway","Menands","NY","12204","","Joseph Skinner","Jskinner@fusionrecovery.com","5186059978","","Outpatient Services","Outpatient Rehabilitation","","","Y","","","","","","","","",""
"Fusion Recovery Centers, LLC","52980","444 Broadway","Menands","Albany","NY","12204","","Fusion Recovery Centers, LLC OTP","53884","Albany","444 Broadway","Menands","NY","12204","","Joseph Skinner","Jskinner@fusionrecovery.com","5186059978","","Opioid Treatment","Opioid Outpatient Treatment","","","Y","","","","","","","","",""
"Hope House, Inc.","35300","2 Holland Ave","Albany","Albany","NY","12209","","Bette Center RRi","53671","Albany","261 N Pearl St","Albany","NY","12207","1201","Csiko Sawyer CASAC","csawyer@hopehouseinc.org","5184652441","","Residential Services","820 Residential Reintegration","","","","","","","","","","","",""
